,accuracy,semantic_similarity,precision,recall,f1,bertscore_p,bertscore_r,bertscore_f1,pp_id
0,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,1
1,1.0,1.0,1.0,1.0,1.0,1.0000004768371582,1.0000004768371582,1.0000004768371582,2
2,0.0,0.2027231467473525,0.2692307692307692,0.7777777777777778,0.39999999999999997,0.8614015579223633,0.9011765718460083,0.8808403015136719,3
3,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.9999999403953552,0.9999999403953552,4
4,0.0,0.0,0.0,0.0,0.0,0.97834312915802,0.97834312915802,0.97834312915802,5
5,0.0,0.8622222222222222,0.3076923076923077,0.4,0.34782608695652173,0.9233503341674805,0.9539654850959778,0.9384083151817322,6
6,1.0,1.0,1.0,1.0,1.0,0.999999463558197,0.999999463558197,0.999999463558197,7
7,0.0,0.8106666666666666,0.6153846153846154,0.7272727272727273,0.6666666666666667,0.94057697057724,0.95951247215271,0.9499503374099731,8
8,1.0,1.0,1.0,1.0,1.0,0.9999997019767761,0.9999997019767761,0.9999997019767761,9
9,0.0,0.5,0.0,0.0,0.0,0.9993555545806885,0.9993555545806885,0.9993555545806885,10
10,1.0,1.0,1.0,1.0,1.0,0.9999997019767761,0.9999997019767761,0.9999997019767761,11
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12
12,0.0,0.35604770017035775,0.92,0.7419354838709677,0.8214285714285714,0.9521685242652893,0.9280967712402344,0.9399785995483398,13
13,1.0,1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,0.9999998211860657,14
14,0.0,0.8357142857142857,0.75,0.42857142857142855,0.5454545454545454,0.9598883390426636,0.9436434507369995,0.9516965746879578,15
15,0.0,0.5765765765765766,0.5,0.3333333333333333,0.4,0.9130494594573975,0.8717070817947388,0.8918994069099426,16
16,0.0,0.4970178926441352,0.8,0.6666666666666666,0.7272727272727272,0.9582005739212036,0.9404201507568359,0.9492270946502686,17
17,0.0,0.6666666666666666,0.5,0.25,0.3333333333333333,0.9186207056045532,0.8660291433334351,0.8915500044822693,18
18,0.0,0.21857142857142858,0.0,0.0,0.0,0.9413310885429382,0.9295312762260437,0.9353939294815063,19
